stats_type,year,Player,Rec,Yds,TD,20+,40+,Lng,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts,year_player,won_super_bowl
receiving,2019,T.Y. Hilton,45,501,5,6,0,35,24,0.533,0,0,68,2019_T.Y. Hilton,0
receiving,2019,Alshon Jeffery,43,490,4,6,0,38,36,0.837,0,0,71,2019_Alshon Jeffery,0
receiving,2019,Allen Lazard,35,477,3,6,1,43,24,0.686,0,0,52,2019_Allen Lazard,0
receiving,2019,Aaron Jones,49,474,3,6,2,67,18,0.367,1,0,68,2019_Aaron Jones,0
receiving,2019,Evan Engram,44,467,3,4,1,75,23,0.523,0,0,68,2019_Evan Engram,0
receiving,2019,Le'Veon Bell,66,461,1,2,0,23,20,0.303,1,0,78,2019_Le'Veon Bell,0
receiving,2019,O.J. Howard,34,459,1,8,0,33,23,0.676,1,0,53,2019_O.J. Howard,0
receiving,2019,Tarik Cohen,79,456,3,2,0,31,18,0.228,1,0,104,2019_Tarik Cohen,0
receiving,2019,Marquez Valdes-Scantling,26,452,2,7,5,74,14,0.538,0,0,56,2019_Marquez Valdes-Scantling,0
receiving,2019,Demarcus Robinson,32,449,4,7,2,44,19,0.594,0,0,55,2019_Demarcus Robinson,1
receiving,2019,Jack Doyle,43,448,4,4,0,23,29,0.674,1,0,72,2019_Jack Doyle,0
receiving,2019,Jimmy Graham,38,447,3,7,1,48,23,0.605,1,0,60,2019_Jimmy Graham,0
receiving,2019,Russell Gage,49,446,1,0,0,19,25,0.51,0,0,74,2019_Russell Gage,0
receiving,2019,Jonnu Smith,35,439,3,8,2,57,16,0.457,0,0,44,2019_Jonnu Smith,0
receiving,2019,Saquon Barkley,52,438,2,6,2,65,14,0.269,1,0,73,2019_Saquon Barkley,0
receiving,2019,Tyler Eifert,43,436,3,4,0,27,24,0.558,0,0,63,2019_Tyler Eifert,0
receiving,2019,Demaryius Thomas,36,433,1,4,1,47,22,0.611,0,0,58,2019_Demaryius Thomas,0
receiving,2019,Preston Williams,32,428,3,6,0,35,24,0.75,2,0,60,2019_Preston Williams,0
receiving,2019,Josh Gordon,27,426,1,8,2,102,16,0.593,0,0,47,2019_Josh Gordon,0
receiving,2019,Ted Ginn,30,421,2,7,2,45,20,0.667,0,0,56,2019_Ted Ginn,0
receiving,2019,Ezekiel Elliott,54,420,2,3,0,27,21,0.389,0,0,71,2019_Ezekiel Elliott,0
receiving,2019,Adam Thielen,30,418,6,8,1,44,18,0.6,0,0,44,2019_Adam Thielen,0
